DAY,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,7,6,4,3,0,-8,-13,-10,-2,4,3,-1,2,5,1,-4,-7,4,9,7,9,7,-1,-5
2,3,-3,1,3,3,-12,-16,-20,-20,-18,-6,-1,-13,-20,-20,-16,-13,-12,-13,-5,0,-4,-8,-3
3,0,5,6,10,3,-7,-12,-11,-8,-7,-5,-8,-4,-1,-1,-1,-1,0,0,-2,-5,-7,-7,-7
4,-6,-4,-2,-5,-9,-10,-11,-10,-5,-1,2,2,2,4,1,-1,-1,-2,-5,-6,-9,-12,-11,-6
5,-5,-8,-8,-8,-8,-7,-10,-9,-8,-6,-4,-1,-1,1,2,2,0,-2,-5,-6,-6,-5,-4,-2

6,2,5,7,8,7,6,1,1,6,8,9,10,11,10,8,5,1,-2,-5,-11,-11,-10,-14,-18
7,-16,-10,-8,-7,-4,-5,-6,-3,0,1,0,0,2,3,0,-1,-2,-3,-5,-2,-3,-4,-5,-2
8,-2,-3,0,0,-2,-3,-3,-1,3,4,2,0,0,-1,-2,-3,-2,-2,-5,-7,-4,-1,0,-1
9,6,6,0,5,6,11,-5,-2,5,-2,-24,-17,-6,-6,-5,-7,-12,-21,-20,-27,-29,-25,-23,-29
10,-32,-28,-25,-33,-27,-25,-27,-25,-21,-19,-15,-16,-17,-11,-6,-4,-4,-3,-5,-8,-9,-7,-7,-3

11,-2,-3,-4,-5,-10,-16,-19,-20,-16,-13,-10,-5,-4,-4,-7,-6,-8,-10,-12,-14,-12,-10,-9,-12
12,-13,-9,-5,-5,-8,-11,-17,-16,-12,-12,-11,-8,-6,-7,-10,-8,-8,-9,-9,-9,-8,-6,-5,-5
13,-6,-8,-7,-8,-8,-6,-7,-5,-4,-2,0,-1,2,2,0,0,-3,-3,-6,-8,-7,-7,-7,-6
14,-8,-7,-2,1,0,-2,-3,0,3,3,5,5,6,4,3,4,4,7,12,13,13,8,7,5
15,1,0,4,2,-1,-1,-1,0,3,2,5,5,5,7,7,7,5,4,4,6,5,4,2,3

16,2,6,9,9,7,6,43,21,-10,-3,-17,-35,-58,-64,-61,-72,-65,-58,-51,-50,-48,-56,-50,-42
17,-47,-49,-48,-40,-37,-41,-54,-59,-51,-50,-54,-50,-45,-48,-52,-58,-61,-53,-47,-44,-42,-36,-33,-32
18,-34,-32,-29,-35,-38,-39,-39,-37,-37,-36,-36,-37,-35,-32,-29,-28,-30,-33,-36,-36,-33,-32,-33,-32
19,-31,-29,-27,-27,-29,-29,-31,-28,-24,-25,-24,-24,-23,-24,-24,-23,-22,-23,-23,-21,-19,-18,-16,-13
20,-10,-7,-3,-3,-6,-5,-8,-5,-1,0,0,9,12,12,11,10,10,7,8,3,-3,-14,-13,-11

21,-11,-21,-33,-31,-21,-17,-24,-33,-28,-24,-19,-15,-17,-18,-24,-29,-29,-23,-20,-14,-11,-13,-12,-12
22,-13,-9,-2,-10,-19,-20,-23,-20,-23,-24,-23,-19,-11,-8,-9,-11,-16,-16,-11,-11,-14,-17,-18,-20
23,-24,-21,-14,-9,-17,-23,-29,-31,-26,-27,-21,-25,-27,-25,-18,-19,-22,-24,-26,-26,-23,-26,-29,-24
24,-18,-11,-6,-4,-7,-12,-17,-20,-12,-11,-10,-10,-13,-13,-14,-16,-17,-16,-14,-13,-13,-19,-23,-26
25,-25,-21,-15,-11,-10,-9,-13,-18,-14,-10,-4,-1,0,0,2,-3,-10,-13,-18,-18,-18,-16,-19,-26

26,-21,-19,-16,-9,-8,-12,-14,-18,-16,-12,-9,-10,-9,-11,-12,-12,-13,-14,-17,-17,-19,-21,-23,-24
27,-30,-30,-26,-22,-21,-21,-22,-19,-17,-17,-15,-12,-13,-12,-13,-15,-16,-12,-11,-12,-9,-7,-10,-11
28,-11,-10,-9,-10,-11,-15,-17,-14,-9,-6,-8,-9,-5,-1,-3,-6,-11,-11,-12,-18,-18,-20,-18,-13
29,-14,-15,-11,-10,-12,-13,-15,-13,-12,-15,-17,-16,-14,-13,-14,-18,-19,-21,-21,-21,-18,-16,-13,-14
30,-7,-5,-2,0,-5,-8,-10,-9,-11,-12,-12,-9,-7,-5,-7,-6,-6,-6,-8,-9,-6,-3,-2,-5

31,-7,-7,-10,-7,-3,3,2,1,-2,-4,-4,-4,-5,-6,-6,-5,-3,-3,-4,-4,-1,2,3,4

